Disposal_ID,Latitude,Longitude,Type,Capacity,Status
49,13.084585,77.513432,Bin,High,Available
50,13.060457,77.49892,Recycling,Low,Available
51,12.891066,77.735101,Bin,Medium,Available
52,13.0693,77.587356,Recycling,Medium,Available
53,12.96567,77.555482,Recycling,Medium,Available
54,13.074894,77.584362,Bin,High,Available
55,12.879225,77.778941,Bin,Medium,Available
56,13.048506,77.667025,Bin,High,Available
57,12.887919,77.559103,Bin,High,Available
58,12.992472,77.716861,Recycling,Medium,Available
59,12.877658,77.746258,Bin,Medium,Available
60,12.887479,77.530238,Recycling,High,Available
61,13.023487,77.639954,Bin,Medium,Available
62,13.077113,77.654187,Bin,Medium,Full
63,12.888338,77.65518,Bin,Medium,Available
64,13.068031,77.776241,Bin,Medium,Full
65,13.02681,77.503389,Bin,Medium,Available
66,13.034111,77.777028,Recycling,Medium,Available
67,13.09621,77.743614,Bin,High,Full
68,12.97971,77.656946,Bin,Low,Available
69,13.050713,77.451621,Bin,Medium,Available
70,13.079964,77.571221,Bin,High,Available
71,12.906151,77.608354,Bin,Low,Available
72,12.954731,77.770196,Bin,Medium,Available
73,12.853274,77.682238,Bin,High,Available
74,12.953656,77.479872,Recycling,Medium,Available
75,12.866769,77.712486,Bin,High,Available
76,12.897672,77.462792,Bin,Medium,Available
77,13.043882,77.608651,Bin,Medium,Available
78,12.98991,77.504334,Bin,High,Full
79,12.943327,77.544761,Bin,Medium,Available
80,12.889038,77.70059,Bin,Low,Available
81,12.907769,77.685162,Bin,Low,Available
82,12.894636,77.678461,Bin,Low,Available
83,13.030567,77.749494,Recycling,Medium,Available
84,12.901246,77.552602,Recycling,Low,Available
85,12.901972,77.459286,Bin,Medium,Available
86,13.073168,77.736105,Bin,Low,Available
87,12.997574,77.543822,Bin,Medium,Available
88,12.959032,77.553063,Recycling,High,Available
89,13.067117,77.620601,Recycling,High,Available
90,12.855617,77.544037,Bin,Medium,Available
91,12.884839,77.742226,Recycling,Medium,Available
92,12.918077,77.456437,Recycling,Low,Available
93,12.918514,77.643962,Bin,High,Available
94,12.852749,77.49791,Recycling,High,Available
95,13.000129,77.682763,Bin,High,Available
96,12.945785,77.631621,Bin,Low,Available
97,12.8707,77.661103,Bin,Medium,Available
98,12.938918,77.701666,Bin,Medium,Available
99,13.015918,77.77789,Recycling,Low,Available
100,12.915566,77.658277,Bin,Medium,Available
101,12.933561,77.719819,Bin,Low,Available
102,12.973873,77.690941,Bin,Low,Available
103,13.049854,77.693144,Bin,Medium,Available
104,12.872896,77.77106,Bin,High,Available
105,12.896283,77.639665,Recycling,High,Available
106,13.014696,77.692297,Recycling,Low,Available
107,12.905302,77.795684,Recycling,Low,Available
108,13.081312,77.513201,Bin,High,Available
109,13.024355,77.554072,Recycling,High,Full
110,12.968554,77.751715,Recycling,Medium,Available
111,12.859252,77.658694,Bin,Low,Available
112,13.024072,77.568956,Recycling,Low,Available
113,12.984873,77.726753,Bin,Medium,Full
114,13.003966,77.531536,Bin,High,Available
115,13.068675,77.635128,Recycling,High,Full
116,12.937678,77.718516,Bin,Medium,Available
117,13.068419,77.794429,Recycling,Medium,Available
118,13.034396,77.533572,Bin,Medium,Available
119,12.924077,77.531763,Bin,Low,Full
120,12.956943,77.584514,Bin,Low,Full
121,13.046586,77.481294,Bin,High,Full
122,12.96685,77.664694,Bin,High,Available
123,13.085683,77.677376,Bin,Medium,Available
124,12.894132,77.52717,Bin,High,Available
125,12.864461,77.789186,Recycling,High,Full
126,12.893474,77.588685,Recycling,Medium,Available
127,13.053958,77.528554,Bin,Medium,Available
128,12.995022,77.48202,Recycling,Low,Available
129,13.072187,77.784478,Recycling,High,Available
130,12.987714,77.480445,Bin,Medium,Available
131,13.030855,77.623557,Bin,Low,Available
132,12.869033,77.747922,Bin,Medium,Available
133,13.05617,77.571733,Bin,Medium,Available
134,13.069657,77.729099,Bin,High,Full
135,13.027091,77.742955,Bin,Medium,Available
136,13.038179,77.505512,Recycling,High,Available
137,13.056454,77.495104,Bin,High,Available
138,13.054492,77.741247,Bin,Low,Available
139,13.004232,77.793415,Bin,Low,Available
140,12.984996,77.722946,Bin,High,Available
141,13.090748,77.569655,Bin,High,Available
142,13.084307,77.69076,Bin,Medium,Available
143,12.866838,77.65376,Bin,Medium,Available
144,13.067884,77.790721,Recycling,High,Available
145,13.039566,77.458605,Bin,Medium,Available
146,13.042602,77.689153,Bin,Low,Full
147,12.956545,77.607985,Bin,High,Available
148,12.905192,77.478833,Bin,Medium,Available
149,13.087716,77.50287,Bin,High,Available
150,13.009631,77.589158,Bin,High,Available
151,13.073525,77.530484,Bin,Low,Available
152,12.942132,77.752525,Bin,High,Available
153,13.067156,77.721809,Recycling,High,Available
154,13.006555,77.495936,Bin,High,Available
155,13.049134,77.618533,Bin,Low,Available
156,12.957576,77.520184,Bin,Low,Available
157,12.917248,77.729146,Bin,Medium,Available
158,12.868112,77.587373,Bin,Medium,Available
159,13.023745,77.751043,Recycling,Low,Available
160,12.876233,77.534716,Recycling,Low,Available
161,13.004539,77.695863,Bin,Low,Available
162,12.979428,77.480753,Bin,Low,Available
163,12.949231,77.496451,Bin,Medium,Available
164,12.900038,77.508619,Bin,Medium,Available
165,12.857897,77.777674,Bin,Medium,Available
166,13.067742,77.69993,Recycling,Medium,Available
167,12.870029,77.763186,Bin,High,Available
168,13.010894,77.634241,Recycling,Low,Available
169,12.911776,77.505841,Recycling,Low,Full
170,12.934224,77.513741,Recycling,Medium,Available
171,12.988841,77.701721,Bin,High,Full
172,13.012581,77.51984,Bin,Low,Available
173,12.914421,77.611918,Recycling,High,Available
174,12.956373,77.571077,Bin,High,Available
175,13.066758,77.652536,Bin,High,Available
176,13.068356,77.765246,Bin,Low,Available
177,13.078091,77.523732,Bin,Medium,Available
178,12.882892,77.700539,Recycling,Low,Available
179,13.092849,77.513342,Recycling,Medium,Available
180,13.067687,77.605857,Bin,Medium,Available
181,12.890881,77.586879,Recycling,Low,Available
182,12.931298,77.720716,Bin,High,Available
183,12.909013,77.475724,Bin,Medium,Available
184,13.057221,77.600811,Bin,Medium,Available
185,12.89176,77.508667,Bin,High,Available
186,12.968658,77.74546,Recycling,Medium,Full
187,12.90146,77.489172,Bin,Low,Available
188,13.084151,77.46377,Bin,Medium,Full
189,12.929039,77.627532,Bin,Low,Full
190,13.09128,77.451729,Recycling,Medium,Full
191,12.963685,77.630459,Bin,Medium,Available
192,12.857493,77.557775,Recycling,Low,Available
193,13.092478,77.482865,Bin,Medium,Full
194,12.894287,77.692419,Recycling,High,Available
195,12.974294,77.666247,Recycling,Medium,Available
196,13.082737,77.691334,Bin,Low,Available
197,12.948466,77.677932,Bin,Medium,Full
198,12.862053,77.792011,Bin,High,Available
199,12.991754,77.708457,Recycling,Medium,Available
200,13.016898,77.732746,Recycling,High,Available
201,13.054459,77.492073,Bin,Low,Available
202,12.941615,77.58866,Bin,Medium,Available
203,12.909386,77.580638,Bin,Low,Available
204,13.017053,77.666822,Bin,Medium,Full
205,12.97977,77.617714,Bin,Medium,Available
206,12.949706,77.65306,Bin,Medium,Available
207,13.053246,77.701343,Recycling,Low,Available
208,12.851891,77.676616,Recycling,Low,Full
209,12.865067,77.777053,Bin,Low,Available
210,12.914194,77.549706,Bin,High,Available
211,12.927827,77.663617,Recycling,Low,Available
212,12.880472,77.513402,Bin,Low,Available
213,13.027262,77.487407,Bin,Low,Full
214,12.970886,77.732097,Bin,Low,Available
215,13.087851,77.660564,Recycling,High,Available
216,12.903011,77.663843,Bin,High,Full
217,12.938355,77.532905,Recycling,Low,Available
218,12.955935,77.683642,Bin,Medium,Available
219,12.996652,77.508805,Recycling,High,Available
220,12.873929,77.458274,Bin,Medium,Available
221,12.907987,77.586817,Bin,Medium,Full
222,12.88411,77.693301,Bin,Medium,Available
223,13.023109,77.79694,Bin,Low,Available
224,12.994597,77.545956,Bin,Low,Full
225,12.897967,77.56318,Bin,Medium,Available
226,12.979765,77.473664,Recycling,Low,Available
227,13.07002,77.677807,Bin,Medium,Available
228,13.017372,77.797949,Bin,Medium,Available
229,12.966301,77.47105,Bin,High,Available
230,13.022501,77.520327,Bin,Low,Available
231,13.039041,77.57165,Bin,High,Full
232,12.908661,77.589761,Bin,High,Full
233,12.984989,77.744712,Bin,Medium,Available
234,13.038818,77.4947,Recycling,High,Available
235,12.85904,77.556095,Bin,Medium,Available
236,13.084239,77.643831,Bin,Medium,Available
237,13.000149,77.630488,Recycling,Medium,Full
238,13.062856,77.522979,Recycling,Low,Available
239,12.945156,77.757291,Recycling,High,Available
240,12.92617,77.478322,Bin,Low,Available
241,12.936525,77.791464,Bin,High,Available
242,13.065504,77.772965,Bin,Medium,Available
243,12.89371,77.625898,Bin,Low,Available
244,12.867043,77.459034,Bin,High,Available
245,13.091456,77.601374,Bin,Medium,Available
246,12.876416,77.674289,Bin,Medium,Available
247,12.888006,77.471472,Recycling,Medium,Available
248,13.098717,77.470223,Bin,High,Available
249,12.885562,77.492485,Bin,Low,Available
250,12.865573,77.628298,Recycling,High,Available
251,12.926563,77.668364,Bin,Medium,Available
252,13.071651,77.607425,Bin,Medium,Available
253,13.056884,77.706765,Recycling,Low,Available
254,12.970336,77.456717,Bin,High,Available
255,12.983828,77.525321,Bin,Low,Full
256,13.050384,77.785852,Bin,Low,Available
257,12.963594,77.745525,Bin,Medium,Available
258,12.931169,77.708075,Bin,Medium,Available
259,12.964862,77.724756,Recycling,High,Available
260,12.928852,77.690847,Bin,Low,Available
261,12.859607,77.765617,Bin,Medium,Available
262,13.073779,77.672834,Bin,Low,Available
263,12.887542,77.708102,Bin,Medium,Available
264,12.871198,77.700713,Bin,Low,Available
265,13.089125,77.708128,Bin,Low,Available
266,13.043663,77.68148,Bin,Low,Available
267,13.015076,77.71753,Bin,Low,Available
268,13.091965,77.553406,Recycling,Medium,Available
269,12.901422,77.492485,Bin,High,Available
270,12.982576,77.464683,Recycling,High,Available
271,13.094993,77.660659,Bin,High,Available
272,13.01412,77.494834,Bin,High,Available
273,12.943042,77.601227,Bin,Medium,Full
274,12.910173,77.492525,Bin,High,Available
275,12.921477,77.735581,Recycling,High,Full
276,12.91306,77.714265,Bin,High,Available
277,13.044112,77.679657,Bin,Medium,Full
278,13.084347,77.465111,Bin,Low,Available
279,13.054446,77.524729,Bin,High,Available
280,12.985559,77.656622,Bin,Low,Available
281,13.022221,77.755663,Bin,High,Available
282,12.965389,77.453266,Bin,High,Full
283,12.874795,77.590523,Recycling,Low,Available
284,13.033268,77.665595,Bin,Medium,Available
285,12.988557,77.45183,Recycling,Low,Available
286,12.90062,77.785326,Bin,Medium,Available
287,12.926401,77.756828,Recycling,Medium,Available
288,13.030518,77.760169,Bin,Medium,Available
289,13.023905,77.451126,Bin,Medium,Available
290,12.873248,77.655871,Bin,Medium,Available
291,12.994996,77.64652,Bin,Medium,Available
292,13.051247,77.544437,Recycling,Medium,Available
293,12.864638,77.566983,Recycling,High,Available
294,12.979317,77.60407,Bin,Medium,Available
295,12.87215,77.527214,Bin,High,Full
296,13.083278,77.674898,Bin,Medium,Available
297,12.879584,77.593467,Recycling,Medium,Available
298,12.996942,77.514567,Bin,Medium,Available
299,12.856048,77.741094,Bin,Medium,Available
300,13.08517,77.540754,Bin,High,Available
301,12.896525,77.730925,Bin,Medium,Available
302,12.87015,77.704779,Bin,Medium,Available
303,13.041378,77.505618,Bin,Low,Available
304,13.014239,77.784815,Bin,Low,Available
305,12.915426,77.536443,Recycling,Low,Available
306,13.03985,77.607409,Recycling,Low,Available
307,12.858403,77.471929,Recycling,Low,Available
308,12.952774,77.57157,Recycling,Low,Available
309,13.090849,77.646059,Recycling,Low,Available
310,12.915039,77.705787,Recycling,Low,Available
311,12.899524,77.647866,Bin,High,Available
312,12.937377,77.489934,Bin,Low,Available
313,13.062654,77.646428,Bin,Low,Full
314,13.030704,77.473684,Recycling,Medium,Available
315,12.964575,77.619644,Bin,High,Available
316,13.017256,77.611803,Bin,Medium,Available
317,12.865568,77.629376,Recycling,Medium,Available
318,13.04657,77.520477,Bin,Low,Available
319,13.039188,77.631785,Bin,High,Full
320,13.067645,77.533579,Bin,High,Available
321,12.856792,77.472822,Bin,High,Available
322,12.974453,77.486916,Bin,High,Available
323,13.043903,77.787567,Bin,Medium,Available
324,13.048214,77.652158,Bin,High,Available
325,13.078773,77.63656,Bin,Medium,Available
326,12.92919,77.750013,Recycling,Low,Full
327,12.885178,77.520705,Bin,High,Available
328,12.888026,77.604113,Bin,Low,Full
329,13.050901,77.626822,Recycling,Medium,Full
330,13.01698,77.672135,Bin,High,Available
331,12.890558,77.454413,Bin,Medium,Available
332,13.072565,77.477792,Recycling,Low,Full
333,13.054766,77.639278,Recycling,Medium,Available
334,13.055409,77.610743,Bin,Medium,Available
335,12.933802,77.510817,Recycling,High,Available
336,12.909969,77.49969,Bin,Medium,Available
337,13.012787,77.667325,Bin,High,Available
338,13.094776,77.67195,Bin,Medium,Available
339,13.021582,77.474374,Bin,High,Available
340,13.05926,77.547747,Bin,Medium,Available
341,12.926328,77.524426,Bin,Medium,Available
342,13.084576,77.754922,Recycling,High,Available
343,12.915072,77.767518,Bin,Medium,Available
344,12.961764,77.611125,Recycling,Medium,Available
345,13.0942,77.488752,Bin,Low,Available
346,13.079519,77.548013,Recycling,Low,Full
347,13.03849,77.731717,Bin,High,Available
348,12.926188,77.740288,Bin,High,Available
349,13.025921,77.639244,Bin,Low,Available
350,12.967192,77.555443,Bin,Low,Available
351,13.035798,77.46685,Recycling,High,Available
352,12.998305,77.762306,Bin,Low,Available
353,13.048645,77.462135,Bin,High,Full
354,12.980361,77.472274,Recycling,Medium,Available
355,12.873464,77.768369,Bin,High,Full
356,12.992943,77.631106,Bin,Medium,Available
357,13.04347,77.660673,Recycling,Medium,Available
358,13.007827,77.657094,Recycling,Low,Available
359,12.876056,77.584579,Bin,Medium,Full
360,13.000163,77.710258,Bin,Medium,Available
361,12.913598,77.576649,Bin,Low,Available
362,12.919204,77.790036,Bin,Medium,Available
363,13.002695,77.548239,Bin,Medium,Available
364,12.851916,77.526674,Bin,Low,Available
365,13.050646,77.650217,Bin,Low,Full
366,12.949254,77.480482,Bin,Low,Available
367,12.976853,77.755978,Bin,High,Full
368,12.882872,77.546156,Bin,Medium,Available
369,13.076903,77.699911,Bin,Medium,Available
370,13.088765,77.737419,Bin,Medium,Available
371,12.914402,77.470834,Bin,Medium,Available
372,12.94596,77.609683,Bin,Low,Available
373,13.037795,77.474853,Bin,Medium,Full
374,13.017143,77.687534,Bin,Medium,Available
375,13.009024,77.76965,Bin,High,Available
376,12.88014,77.765859,Bin,Medium,Available
377,12.852927,77.597712,Bin,Medium,Available
378,12.860935,77.493051,Bin,Medium,Available
379,13.013073,77.745962,Bin,Medium,Available
380,12.918845,77.55721,Recycling,Medium,Available
381,13.055606,77.750147,Recycling,Medium,Available
382,12.99555,77.57991,Bin,High,Available
383,12.943638,77.508401,Bin,Low,Full
384,12.936469,77.504061,Bin,Medium,Available
385,12.935151,77.475099,Bin,Medium,Available
386,13.001445,77.577608,Bin,High,Available
387,13.022069,77.499194,Bin,Low,Available
388,13.091004,77.584472,Bin,Low,Available
389,12.890006,77.458173,Recycling,Medium,Available
390,13.075021,77.490649,Recycling,Medium,Full
391,13.000736,77.739348,Recycling,Low,Full
392,12.94737,77.584929,Bin,Medium,Available
393,12.988428,77.639597,Recycling,High,Available
394,12.925583,77.540767,Bin,Low,Available
395,12.917562,77.788246,Bin,Medium,Available
396,12.884799,77.605415,Bin,Medium,Available
397,13.098462,77.75811,Bin,Medium,Available
398,12.900328,77.588298,Bin,Medium,Available
399,12.906937,77.78741,Recycling,High,Available
400,13.067492,77.495728,Recycling,Low,Available
401,12.918942,77.756982,Recycling,Low,Available
402,13.095247,77.619193,Recycling,Medium,Available
403,12.921446,77.521128,Recycling,Medium,Available
404,12.973081,77.652048,Recycling,High,Available
405,13.05688,77.717585,Bin,High,Available
406,12.877316,77.748887,Bin,High,Full
407,12.865614,77.759213,Bin,Medium,Available
408,13.081596,77.456691,Bin,Medium,Available
409,13.023133,77.497052,Bin,Medium,Available
410,12.91969,77.523747,Recycling,Low,Full
411,13.019205,77.739964,Bin,Low,Available
412,13.058536,77.709167,Bin,High,Available
413,13.014635,77.718141,Recycling,Medium,Available
414,12.971907,77.477177,Bin,Medium,Available
415,12.937205,77.488849,Recycling,High,Available
416,13.088779,77.632902,Bin,Low,Available
417,13.048629,77.69748,Bin,Low,Available
418,12.923823,77.531335,Bin,High,Full
419,12.951276,77.767139,Bin,Medium,Available
420,13.010119,77.792643,Bin,Medium,Available
421,12.88073,77.761031,Bin,Medium,Available
422,13.006196,77.475122,Bin,Low,Available
423,13.055634,77.731385,Bin,Medium,Available
424,13.043837,77.544993,Bin,Low,Available
425,13.007389,77.469016,Recycling,Medium,Available
426,12.977782,77.466398,Bin,High,Available
427,13.059835,77.451337,Bin,High,Available
428,12.875473,77.576082,Bin,High,Available
429,13.047233,77.762155,Bin,High,Available
430,13.09102,77.481251,Bin,Medium,Available
431,13.008178,77.69635,Bin,Low,Available
432,13.016596,77.788117,Recycling,High,Available
433,12.924513,77.486878,Recycling,Medium,Available
434,12.940013,77.78488,Bin,Medium,Available
435,12.902221,77.579048,Bin,Low,Available
436,12.954126,77.737763,Recycling,Low,Available
437,12.96807,77.758055,Bin,Medium,Available
438,12.923825,77.49781,Bin,High,Available
439,13.011208,77.588296,Recycling,Low,Full
440,12.921852,77.578725,Bin,Low,Available
441,12.916898,77.742418,Bin,Medium,Available
442,12.854832,77.493529,Bin,Medium,Available
443,12.982734,77.658296,Bin,Medium,Full
444,12.979758,77.68714,Bin,High,Available
445,12.980324,77.791605,Bin,Low,Available
446,13.051789,77.492073,Bin,Low,Available
447,13.043285,77.631286,Bin,Medium,Available
448,12.92495,77.676261,Recycling,High,Available
449,13.07464,77.724119,Recycling,Medium,Available
450,12.925729,77.472993,Bin,Low,Available
451,13.036861,77.615833,Bin,High,Full
452,13.046297,77.796965,Bin,High,Available
453,12.94142,77.528883,Bin,Low,Available
454,13.04533,77.652404,Bin,High,Available
455,12.947041,77.685946,Bin,Medium,Full
456,12.922626,77.614496,Recycling,High,Available
457,12.886826,77.452745,Bin,Medium,Available
458,13.089484,77.635381,Bin,Medium,Available
459,12.86906,77.546146,Recycling,Medium,Available
460,12.958204,77.465365,Bin,Medium,Available
461,12.862495,77.745277,Recycling,High,Full
462,12.910494,77.786219,Bin,High,Full
463,13.027931,77.7934,Bin,Low,Available
464,12.99839,77.475579,Bin,High,Available
465,13.048149,77.767765,Recycling,High,Available
466,13.094327,77.715059,Bin,Medium,Available
467,12.911835,77.674215,Bin,Low,Available
468,13.042907,77.624613,Bin,Low,Available
469,13.081549,77.530037,Bin,Low,Available
470,13.062011,77.705102,Bin,Medium,Available
471,12.970223,77.681852,Bin,Low,Available
472,13.079883,77.797639,Bin,High,Available
473,12.948115,77.713993,Recycling,High,Available
474,12.93928,77.725642,Bin,Medium,Available
475,13.014158,77.53414,Bin,High,Available
476,12.976489,77.527298,Bin,Low,Available
477,13.066693,77.548868,Recycling,Medium,Available
478,12.995022,77.630844,Recycling,Low,Available
479,13.073524,77.78126,Recycling,Medium,Available
480,12.969084,77.624139,Bin,Medium,Available
481,12.932891,77.749261,Bin,Low,Available
482,13.085196,77.627422,Bin,High,Available
483,12.933048,77.692766,Recycling,Medium,Available
484,13.068971,77.638683,Bin,Medium,Available
485,12.881967,77.717941,Bin,Medium,Available
486,12.863659,77.790577,Bin,Medium,Available
487,12.907604,77.450516,Recycling,High,Available
488,13.015762,77.709664,Recycling,Medium,Available
489,12.931324,77.699417,Recycling,Low,Available
490,13.075485,77.732343,Recycling,High,Available
491,12.997659,77.681355,Bin,Medium,Available
492,12.89183,77.723221,Bin,High,Available
493,12.916332,77.660544,Bin,High,Available
494,12.875629,77.629849,Bin,Medium,Full
495,13.056877,77.694023,Recycling,Medium,Full
496,13.023649,77.705143,Recycling,Low,Available
497,12.89881,77.57087,Bin,High,Full
498,13.025292,77.70447,Bin,High,Available
499,12.945129,77.507062,Recycling,High,Available
500,12.856298,77.743649,Bin,High,Full
501,12.959415,77.532241,Recycling,High,Available
502,13.091759,77.468084,Bin,High,Full
503,12.894814,77.730001,Bin,Medium,Available
504,13.066324,77.505046,Bin,Low,Full
505,13.018176,77.728838,Bin,Medium,Available
506,13.058208,77.76713,Bin,Medium,Available
507,12.987215,77.550671,Bin,Medium,Available
508,12.933512,77.706445,Bin,Low,Available
509,12.92144,77.601468,Bin,Medium,Available
510,12.94348,77.780557,Bin,Medium,Available
511,12.899748,77.596417,Recycling,Low,Available
512,12.91908,77.601207,Recycling,Low,Available
513,12.894841,77.789737,Bin,Medium,Available
514,13.026139,77.597955,Bin,Medium,Available
515,12.901333,77.619064,Bin,Low,Available
516,13.092134,77.661273,Bin,Low,Full
517,12.924323,77.482223,Bin,Medium,Available
518,12.916851,77.455289,Recycling,Low,Available
519,13.026657,77.663503,Bin,Low,Available
520,13.066524,77.781357,Bin,Low,Full
521,13.034134,77.759048,Bin,Medium,Available
522,13.020028,77.592853,Bin,Medium,Available
523,12.962564,77.785153,Bin,High,Available
524,13.018115,77.791952,Bin,Low,Available
525,12.873156,77.711935,Recycling,Medium,Available
526,12.958601,77.703207,Bin,Medium,Available
527,13.009422,77.534708,Recycling,Low,Available
528,13.069368,77.708553,Bin,Low,Available
529,12.917702,77.536646,Bin,Medium,Available
530,13.001683,77.685505,Bin,High,Available
531,13.051273,77.738044,Recycling,Medium,Available
532,13.004196,77.710009,Recycling,Medium,Available
533,12.942778,77.772268,Bin,Medium,Available
534,12.942112,77.763371,Bin,High,Available
535,13.007562,77.536934,Recycling,Medium,Available
536,13.012331,77.777698,Bin,High,Available
537,12.96098,77.45767,Bin,Medium,Available
538,12.972774,77.774489,Bin,High,Available
539,13.013793,77.541083,Bin,Low,Available
540,12.896412,77.682477,Recycling,High,Available
541,12.877608,77.551216,Bin,Low,Available
542,12.983888,77.57491,Bin,High,Available
543,12.926949,77.769826,Recycling,Medium,Available
544,12.976409,77.779392,Recycling,Low,Available
545,12.988343,77.626096,Bin,High,Available
546,13.059477,77.750567,Recycling,Medium,Available
547,12.890091,77.685776,Bin,Medium,Available
548,12.879388,77.50785,Bin,High,Available
549,12.978733,77.506477,Bin,Low,Available
550,13.072714,77.534538,Bin,Low,Available
551,12.979806,77.662713,Bin,Low,Available
552,12.908551,77.526844,Recycling,Medium,Available
553,12.953944,77.600131,Bin,Medium,Available
554,12.892923,77.625039,Bin,High,Available
555,12.983126,77.490388,Bin,Low,Available
556,12.88571,77.692226,Bin,Medium,Full
557,12.901079,77.627732,Bin,Low,Available
558,12.867261,77.615989,Bin,Medium,Available
559,12.913318,77.453493,Recycling,Medium,Available
560,13.055347,77.745164,Bin,Medium,Available
561,12.962824,77.514205,Recycling,High,Available
562,12.868925,77.585739,Recycling,High,Available
563,12.866743,77.757073,Bin,Medium,Full
564,12.866641,77.676911,Bin,Medium,Available
565,12.958368,77.799014,Bin,Medium,Available
566,12.93763,77.580387,Bin,Medium,Available
567,13.030684,77.679855,Recycling,Low,Available
568,13.015421,77.619396,Bin,High,Available
569,12.987105,77.473262,Recycling,Medium,Available
570,13.037937,77.731051,Bin,Low,Available
571,13.005118,77.709789,Bin,Low,Full
572,13.037494,77.76788,Recycling,Medium,Available
573,13.072282,77.652582,Bin,Low,Available
574,13.029099,77.54483,Bin,Medium,Available
575,12.903728,77.598698,Recycling,Medium,Available
576,12.869243,77.693655,Bin,High,Available
577,13.04906,77.545181,Bin,Low,Full
578,13.009094,77.563579,Bin,Low,Available
579,12.904679,77.658356,Bin,Medium,Available
580,13.044506,77.716298,Bin,Low,Available
581,12.942087,77.601321,Bin,Low,Available
582,13.069796,77.535189,Bin,Low,Available
583,12.930757,77.764272,Recycling,Medium,Full
584,13.099039,77.738895,Recycling,Low,Available
585,12.866814,77.483221,Recycling,Medium,Available
586,13.051666,77.750308,Recycling,Low,Available
587,12.952798,77.495528,Bin,Medium,Available
588,12.991545,77.559472,Bin,Low,Available
589,13.041088,77.66831,Recycling,Low,Available
590,13.004882,77.647188,Bin,High,Available
591,12.995238,77.796738,Recycling,Medium,Available
592,12.947308,77.530106,Bin,High,Full
593,12.935476,77.634687,Bin,High,Full
594,13.012377,77.731545,Recycling,Medium,Available
595,12.963691,77.686175,Bin,Medium,Full
596,12.891839,77.625126,Bin,Medium,Available
597,12.918822,77.504672,Bin,Medium,Available
598,13.026285,77.60931,Bin,High,Available
599,12.854786,77.722686,Bin,Medium,Available
600,13.050703,77.786322,Bin,Medium,Available
601,12.888423,77.650413,Bin,High,Available
602,12.99821,77.574224,Bin,Low,Available
603,12.871141,77.662396,Recycling,High,Available
604,12.902808,77.752049,Recycling,Low,Available
605,12.92163,77.730924,Recycling,Low,Full
606,13.005658,77.790684,Bin,High,Available
607,12.93382,77.473456,Recycling,High,Full
608,13.084491,77.479786,Bin,Low,Available
609,12.907341,77.614188,Bin,Low,Available
610,12.886819,77.790577,Recycling,High,Available
611,12.919592,77.729403,Bin,Low,Available
612,12.88242,77.539762,Bin,Medium,Available
613,12.902627,77.733158,Bin,Medium,Full
614,12.888731,77.478958,Bin,Medium,Available
615,13.050951,77.498002,Bin,Medium,Available
616,13.006,77.545774,Bin,Low,Available
617,12.926616,77.737833,Bin,Medium,Available
618,13.031252,77.651001,Bin,High,Full
619,12.928469,77.638308,Recycling,High,Full
620,12.942867,77.518308,Bin,High,Available
621,12.970795,77.743381,Bin,High,Available
622,12.932058,77.608896,Recycling,Low,Available
